node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,width,height,label_type,embedded_door_guid,zone_stamp_guid,room_name,room_number,room_height,embedded_in_wall_guid,marker_guid
139,Wall,29AAB3E7-BB86-7AD5-1EA6-7394518637EE,,,4.99,,,Parede-016,379.5,-370.77,3.19,384.09,-368.42,16.83,0.20,13.64,0.0,,,,,,,
140,Wall,0483C336-6C06-C68E-749E-7A585D3F1B7A,,,2.50,,,Parede-015,384.0,-368.6,2.23,386.34,-367.34,16.21,0.20,13.99,0.0,,,,,,,
141,Wall,FD32809A-3EA8-9523-51E5-3554CF04FF31,,,2.53,,,Parede-014,386.25,-367.52,4.55,388.63,-366.25,21.42,0.20,16.88,0.0,,,,,,,
142,Wall,9A629C62-3429-D90B-A73F-D3773196676C,,,16.84,,,Parede-010,381.45,-367.05,3.19,396.73,-359.59,17.03,0.20,13.84,0.0,,,,,,,
143,Wall,15CBF04B-2DA9-31A4-47AB-AD2D4C8880D0,,,2.54,,,Parede-010,383.45,-365.39,0.7,384.72,-363.01,18.54,0.20,17.84,0.0,,,,,,,
144,Wall,C3616E64-DAC7-7941-0A72-17AA587494CE,,,5.63,,,Parede-010,378.5,-365.53,-0.07,383.71,-363.01,18.54,0.20,18.62,0.0,,,,,,,
145,Wall,8D9A465A-D499-24A3-415F-95478A91EC82,,,7.56,,,Parede-008,388.74,-360.78,3.19,395.65,-357.34,14.55,0.20,11.36,0.0,,,,,,,
146,Wall,00594594-2F3A-409F-3EF0-3749DBA6EF9A,,,2.50,,,Parede-009,395.56,-357.52,4.55,397.9,-356.26,15.65,0.20,11.10,0.0,,,,,,,
147,Wall,352894DF-E756-8A2A-9587-BD3A8EA26B51,,,5.20,,,Parede-010,397.63,-361.04,4.55,400.06,-356.26,15.65,0.20,11.10,0.0,,,,,,,
148,Wall,56D52D62-BD2C-14EC-555E-4C09AD88C5A9,,,2.50,,,Parede-011,397.72,-362.03,4.56,400.06,-360.77,15.65,0.20,11.09,0.0,,,,,,,
149,Wall,148CCA15-4FCC-9941-A05F-F09F27632FD3,,,7.68,,,Parede-012,390.79,-365.35,4.55,397.8,-361.85,19.55,0.20,15.00,0.0,,,,,,,
150,Wall,BDAED724-8A57-FC7E-DE35-CBDAF1E8777E,,,2.50,,,Parede-013,388.54,-366.43,0.7,390.88,-365.17,14.69,0.20,13.99,0.0,,,,,,,
151,Wall,C3DA89D5-1883-9727-7C84-9F93EE395C9A,,,1.58,,,Parede-008,385.49,-361.84,0.7,386.35,-360.32,14.55,0.20,13.84,0.0,,,,,,,
152,Wall,038A0339-CC8A-157F-311E-24F6E455F160,,,2.65,,,Parede-008,386.35,-361.93,3.19,388.83,-360.6,14.55,0.20,11.36,0.0,,,,,,,
153,Wall,3265AA3B-B7D1-4DA8-3B08-A67539452CBB,,,0.20,,,Parede-009,387.07,-361.58,0.7,387.34,-361.32,14.55,0.20,13.84,0.0,,,,,,,
