node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax
115,DimNode 92,2BD8E44D-6FBE-AC4A-AE4C-3EA5D509EB3B,49CE2419-FF4A-9147-AAB4-A71BEA4F62B0,"7,200",7.20,19.13,18.25,Dim Node 92,19.13,18.24,0.0,19.14,18.25,0.0
116,DimNode 93,2BD8E44D-6FBE-AC4A-AE4C-3EA5D509EB3B,E0135B71-870D-CB4F-B07D-B4D6291B6F68,"8,125",8.13,27.26,18.25,Dim Node 93,27.25,18.24,0.0,27.26,18.25,0.0
117,DimNode 94,2BD8E44D-6FBE-AC4A-AE4C-3EA5D509EB3B,66E94027-BF8C-7D42-8F0D-795A6A6410B0,"6,000",6.00,33.26,18.25,Dim Node 94,33.25,18.24,0.0,33.26,18.25,0.0
118,DimNode 95,2BD8E44D-6FBE-AC4A-AE4C-3EA5D509EB3B,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"4,175",4.18,37.43,18.25,Dim Node 95,37.43,18.24,0.0,37.44,18.25,0.0
119,Dimension,2BD8E44D-6FBE-AC4A-AE4C-3EA5D509EB3B,,,30.12,,,Dim 24,7.25,18.15,38.3,37.5,18.34,38.3
120,DimNode 96,8B3DC263-0F5C-A644-9063-F84BB740AD67,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,19.01,Dim Node 96,7.3,19.01,0.0,7.31,19.02,0.0
121,DimNode 97,8B3DC263-0F5C-A644-9063-F84BB740AD67,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"30,125",30.12,37.43,19.01,Dim Node 97,37.43,19.01,0.0,37.44,19.02,0.0
122,Dimension,8B3DC263-0F5C-A644-9063-F84BB740AD67,,,30.12,,,Dim 25,7.25,18.92,42.0,37.5,19.1,42.0
123,DimNode 98,F446962B-1C5F-A94D-9858-4D8730146739,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,18.25,Dim Node 98,7.3,18.24,0.0,7.31,18.25,0.0
124,DimNode 99,F446962B-1C5F-A94D-9858-4D8730146739,7068DC9B-2AF6-DE44-873E-4577F2DB20D4,"4,625",4.62,11.93,18.25,Dim Node 99,11.93,18.24,0.0,11.94,18.25,0.0
125,DimNode 100,F446962B-1C5F-A94D-9858-4D8730146739,49CE2419-FF4A-9147-AAB4-A71BEA4F62B0,"7,200",7.20,19.13,18.25,Dim Node 100,19.13,18.24,0.0,19.14,18.25,0.0
126,DimNode 101,F446962B-1C5F-A94D-9858-4D8730146739,E0135B71-870D-CB4F-B07D-B4D6291B6F68,"8,125",8.13,27.26,18.25,Dim Node 101,27.25,18.24,0.0,27.26,18.25,0.0
127,DimNode 102,F446962B-1C5F-A94D-9858-4D8730146739,66E94027-BF8C-7D42-8F0D-795A6A6410B0,"6,000",6.00,33.26,18.25,Dim Node 102,33.25,18.24,0.0,33.26,18.25,0.0
