node_id,element_type,guid,length,width,height,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,embedded_door_guid,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid,label_guid
1064,Wall,42464D44-0599-81B8-5912-F1D382EDCE33,4.70,0.30,3.20,PAREDE 34cm,0,1.96,-24.8,48.8,3.29,-20.15,52.0,0380B497-5A5B-763E-0206-7FAD9045A224,,,,,,,,,
1065,Wall,F3F9490F-372D-46B9-BD90-258BD41D2926,2.60,0.03,3.00,DRYWALL,0,-5.71,-14.24,-29.1,-5.1,-11.7,-26.1,2BA24615-814C-4A60-AACE-8AD1294EDC94,,,,,,,,,
1066,Wall,DB53D854-BFFF-A85D-20E2-8779874EEE7E,2.60,0.03,3.00,DRYWALL,0,-5.71,-14.24,10.4,-5.1,-11.7,13.4,A4B96A4E-F92D-90B1-01C2-9404C59C5BDD,,,,,,,,,
1067,Wall,A3874BA6-4915-CB2B-7E00-EF5E7AD80F4D,2.60,0.03,3.00,DRYWALL,0,-4.14,-21.16,20.0,-3.54,-18.61,23.0,2AD2C695-ADA1-C953-B0AF-345C9B24CBC6,,,,,,,,,
1068,Wall,A9C81587-89D7-A951-4443-57EE4DE2ED81,2.60,0.03,3.00,DRYWALL,0,-7.92,-4.49,29.6,-7.31,-1.94,32.6,35B175E6-5F96-F7E2-BFA6-CA174226D636,,,,,,,,,
1069,Wall,E59A7032-7BA8-4B9E-A617-D2425ACA9980,5.80,0.10,3.00,DRYWALL,0,-5.72,-11.49,4.0,-0.05,-10.11,7.0,3AEA24E0-F6DD-46BD-AF11-91BD52E3D5F9,,,,,,,,,
1070,Wall,44B062BE-8CE0-4186-A2D9-E141253BD22F,5.35,0.10,3.00,DRYWALL,0,-0.16,-15.35,4.0,1.11,-10.11,7.0,,,,,,,,,,
1071,Wall,A8953414-2C39-4DF4-BAFF-FE982021B48A,2.30,0.10,3.80,DRYWALL,0,0.5,-15.3,0.0,1.1,-13.04,3.8,,,,,,,,,,
1072,Wall,5CB686BB-A0E8-4842-B1EC-9F0B8D7820F6,2.30,0.10,3.80,DRYWALL,0,-0.95,-15.63,0.0,-0.35,-13.37,3.8,,,,,,,,,,
1073,Wall,60F124DA-4AF6-4884-BBDB-3F735050FCEF,4.36,0.10,3.80,DRYWALL,0,-5.38,-13.25,0.0,-1.11,-12.2,3.8,,,,,,,,,,
1074,Wall,EA26D6E9-2776-4F88-89E2-9956F6CAFE3C,1.20,0.10,3.80,DRYWALL,0,-2.18,-13.61,0.0,-1.82,-12.42,3.8,658E04B6-B0D2-4124-8ADB-6C13024DACA6,,,,,,,,,
1075,Wall,F0346161-06E4-45F4-B397-0A7AE7CEA8A0,1.30,0.10,3.80,DRYWALL,0,-6.4,-14.62,0.0,-5.11,-14.24,3.8,,,,,,,,,,
1076,Wall,20055339-93BD-45E0-A980-D011B8058D5C,8.20,0.30,3.80,PAREDE 32cm,0,-15.58,-3.67,0.0,-7.53,-1.57,3.8,,,,,,,,,,
1077,Wall,F6135FAF-CCA8-AC58-24F5-2ABFA88BE286,2.00,0.10,3.80,DRYWALL,0,9.98,-6.81,0.0,11.95,-6.28,3.8,0E3BF566-80A8-ADE0-6DCA-F6A4C2B76F4D,,,,,,,,,
1078,Wall,C874217F-4D4C-420B-B63B-93C96EA7DAC5,1.30,0.10,3.80,DRYWALL,0,-5.43,-18.91,0.0,-4.14,-18.53,3.8,,,,,,,,,,
1079,Wall,2036D285-1528-BF3C-4765-16C33CF663BB,2.00,0.10,3.80,DRYWALL,0,-5.96,-18.83,0.0,-5.43,-16.86,3.8,DFF900B7-A1C2-BB1F-B08D-B72A68DA1DCD,,,,,,,,,
